AAPL,MSFT
2020-01-03,-0.007214431762695313,-0.01969940185546875
2020-01-06,0.005855560302734375,0.0040386962890625
2020-01-07,-0.0034836578369140626,-0.014282379150390625
2020-01-08,0.011859359741210938,0.024722747802734375
2020-01-09,0.0159112548828125,0.0196990966796875
2020-01-10,0.0017295074462890625,-0.0073870849609375
2020-01-13,0.016380691528320314,0.019108428955078124
2020-01-14,-0.010574569702148437,-0.01132720947265625
2020-01-15,-0.0033106231689453126,0.01034210205078125
2020-01-16,0.0096356201171875,0.029450836181640624
2020-01-17,0.008622817993164063,0.009160308837890626
2020-01-21,-0.005336685180664063,-0.0059100341796875
2020-01-22,0.002791900634765625,-0.007879638671875
2020-01-23,0.0037801361083984377,0.01004669189453125
2020-01-24,-0.0022730255126953126,-0.01654754638671875
2020-01-27,-0.023125762939453124,-0.027185211181640623
2020-01-28,0.02159393310546875,0.03132232666015625
2020-01-29,0.0164300537109375,0.025411834716796877
2020-01-30,-0.00116119384765625,0.046687774658203125
2020-01-31,-0.03547920227050781,-0.02511688232421875
2020-02-03,-0.002100067138671875,0.04087631225585937
2020-02-04,0.0251763916015625,0.05653717041015625
2020-02-05,0.006423797607421875,-0.002166900634765625
2020-02-06,0.00928985595703125,0.03673919677734375
2020-02-07,-0.010921630859375,0.002561187744140625
2020-02-10,0.00376434326171875,0.04737686157226562
2020-02-11,-0.0048046112060546875,-0.04195953369140625
2020-02-12,0.018797225952148437,0.002659454345703125
2020-02-13,-0.005770492553710938,-0.009849700927734375
2020-02-14,0.000198211669921875,0.016153411865234377
2020-02-18,-0.014735565185546876,0.018517608642578124
2020-02-19,0.011441650390625,0.005530548095703125
2020-02-20,-0.008222122192382813,-0.028246917724609376
2020-02-21,-0.017955245971679686,-0.05758056640625
2020-02-24,-0.03682647705078125,-0.0760498046875
2020-02-25,-0.025013198852539064,-0.02785186767578125
2020-02-26,0.011317901611328125,0.02074066162109375
2020-02-27,-0.04737663269042969,-0.11842041015625
2020-02-28,-0.000396270751953125,0.03782745361328125
2020-03-02,0.063028564453125,0.1064697265625
2020-03-03,-0.023502655029296875,-0.08177825927734375
2020-03-04,0.0332354736328125,0.05965484619140625
2020-03-05,-0.024319839477539063,-0.04227203369140625
2020-03-06,-0.009633712768554688,-0.046419830322265626
2020-03-09,-0.05661430358886719,-0.1081488037109375
2020-03-10,0.04747573852539062,0.10172882080078124
2020-03-11,-0.024542770385742187,-0.07200042724609375
2020-03-12,-0.06736251831054688,-0.1439019775390625
2020-03-13,0.0736529541015625,0.19526031494140625
2020-03-16,-0.08856189727783204,-0.2312109375
2020-03-17,0.02637542724609375,0.11012420654296876
2020-03-18,-0.015329933166503907,-0.060938873291015626
2020-03-19,-0.004680747985839844,0.02281494140625
2020-03-20,-0.0384857177734375,-0.05293869018554687
2020-03-23,-0.012060890197753906,-0.013530731201171875
2020-03-24,0.05574748992919922,0.12207473754882812
2020-03-25,-0.003368186950683594,-0.014024810791015625
2020-03-26,0.03199722290039062,0.09076583862304688
2020-03-27,-0.026499252319335937,-0.06330902099609376
2020-03-30,0.017509269714355468,0.10400054931640625
2020-03-31,-0.0012878036499023437,-0.024888916015625
2020-04-01,-0.03313636779785156,-0.055308837890625
2020-04-02,0.00995574951171875,0.031111297607421876
2020-04-03,-0.008717460632324219,-0.014123687744140625
2020-04-06,0.05215633392333984,0.11298858642578125
2020-04-07,-0.0075286865234375,-0.017580718994140626
2020-04-08,0.01644439697265625,0.01619781494140625
2020-04-09,0.004754867553710938,9.857177734375e-05
2020-04-13,0.013026809692382813,0.0036541748046875
2020-04-14,0.034176483154296874,0.08088943481445313
2020-04-15,-0.006488494873046875,-0.017975311279296875
2020-04-16,0.005597076416015625,0.050963134765625
2020-04-17,-0.009633865356445313,0.015407562255859375
2020-04-20,-0.014537429809570313,-0.034963226318359374
2020-04-21,-0.0211993408203125,-0.07150634765625
2020-04-22,0.019143829345703123,0.05629653930664062
2020-04-23,-0.002649993896484375,-0.020740814208984375
2020-04-24,0.019663925170898437,0.0309136962890625
2020-04-27,0.0004953765869140626,-0.0049383544921875
2020-04-28,-0.011367340087890625,-0.0418768310546875
2020-04-29,0.022660446166992188,0.07525955200195313
2020-04-30,0.015032730102539062,0.017580718994140626
2020-05-01,-0.011714019775390626,-0.045827484130859374
2020-05-04,0.010129013061523438,0.042173004150390624
2020-05-05,0.01089691162109375,0.0189630126953125
2020-05-06,0.007602996826171875,0.017580413818359376
2020-05-07,0.007702102661132812,0.010469207763671875
2020-05-08,0.017904434204101562,0.010666656494140624
2020-05-11,0.012118301391601562,0.020345916748046877
2020-05-12,-0.008939743041992188,-0.04177825927734375
2020-05-13,-0.009337158203125,-0.02725921630859375
2020-05-14,0.004693450927734375,0.007703704833984375
2020-05-15,-0.004544448852539062,0.02597564697265625
2020-05-18,0.018003768920898437,0.017283935546875
2020-05-19,-0.004519577026367187,-0.012642059326171875
2020-05-20,0.015123138427734375,0.025156402587890626
2020-05-21,-0.005910263061523437,-0.022086334228515626
2020-05-22,0.005065994262695312,0.000792388916015625
2020-05-26,-0.005363845825195312,-0.0192138671875
2020-05-27,0.00342681884765625,0.00237701416015625
2020-05-28,0.00034759521484375,-0.004060821533203125
2020-05-29,-0.0007696533203125,0.01832275390625
2020-06-01,0.00970947265625,-0.004159698486328125
2020-06-02,0.0037000274658203127,0.020600433349609374
2020-06-03,0.0044202423095703125,0.004456939697265625
2020-06-04,-0.006953125,-0.02416595458984375
2020-06-05,0.022796478271484375,0.04238937377929688
2020-06-08,0.004867095947265625,0.011488800048828124
